x4000c0s0b0n0 ofi+cxi://0x00916600
x4103c7s0b0n0 ofi+cxi://0x021f6600
x4103c7s1b0n0 ofi+cxi://0x021f4600
x4103c7s2b0n0 ofi+cxi://0x021f6200
x4103c7s3b0n0 ofi+cxi://0x021f4200
x4103c7s4b0n0 ofi+cxi://0x021f2000
x4103c7s5b0n0 ofi+cxi://0x021f0000
x4103c7s6b0n0 ofi+cxi://0x021f2400
x4103c7s7b0n0 ofi+cxi://0x021f0400
x4104c0s0b0n0 ofi+cxi://0x02216600
x4104c0s1b0n0 ofi+cxi://0x02214600
x4104c0s2b0n0 ofi+cxi://0x02216200
x4104c0s3b0n0 ofi+cxi://0x02214200
x4104c0s4b0n0 ofi+cxi://0x02212000
x4104c0s5b0n0 ofi+cxi://0x02210000
x4104c0s6b0n0 ofi+cxi://0x02212400
x4104c0s7b0n0 ofi+cxi://0x02210400
x4104c1s0b0n0 ofi+cxi://0x02236600
x4104c1s1b0n0 ofi+cxi://0x02234600
x4104c1s2b0n0 ofi+cxi://0x02236200
x4104c1s3b0n0 ofi+cxi://0x02234200
x4104c1s4b0n0 ofi+cxi://0x02232000
x4104c1s5b0n0 ofi+cxi://0x02230000
x4104c1s6b0n0 ofi+cxi://0x02232400
x4104c1s7b0n0 ofi+cxi://0x02230400
x4104c2s0b0n0 ofi+cxi://0x02256600
x4104c2s1b0n0 ofi+cxi://0x02254600
x4104c2s2b0n0 ofi+cxi://0x02256200
x4104c2s3b0n0 ofi+cxi://0x02254200
x4104c2s4b0n0 ofi+cxi://0x02252000
x4104c2s5b0n0 ofi+cxi://0x02250000
x4104c2s6b0n0 ofi+cxi://0x02252400
x4104c2s7b0n0 ofi+cxi://0x02250400
x4104c3s0b0n0 ofi+cxi://0x02276600
x4104c3s1b0n0 ofi+cxi://0x02274600
x4104c3s2b0n0 ofi+cxi://0x02276200
x4104c3s3b0n0 ofi+cxi://0x02274200
x4104c3s4b0n0 ofi+cxi://0x02272000
x4104c3s5b0n0 ofi+cxi://0x02270000
x4104c3s6b0n0 ofi+cxi://0x02272400
x4104c3s7b0n0 ofi+cxi://0x02270400
x4104c4s0b0n0 ofi+cxi://0x02296600
x4104c4s1b0n0 ofi+cxi://0x02294600
x4104c4s2b0n0 ofi+cxi://0x02296200
x4104c4s3b0n0 ofi+cxi://0x02294200
x4104c4s4b0n0 ofi+cxi://0x02292000
x4104c4s5b0n0 ofi+cxi://0x02290000
x4104c4s6b0n0 ofi+cxi://0x02292400
x4104c4s7b0n0 ofi+cxi://0x02290400
x4104c5s0b0n0 ofi+cxi://0x022b6600
x4104c5s1b0n0 ofi+cxi://0x022b4600
x4104c5s2b0n0 ofi+cxi://0x022b6200
x4104c5s3b0n0 ofi+cxi://0x022b4200
x4104c5s4b0n0 ofi+cxi://0x022b2000
x4104c5s5b0n0 ofi+cxi://0x022b0000
x4104c5s6b0n0 ofi+cxi://0x022b2400
x4104c5s7b0n0 ofi+cxi://0x022b0400
x4104c6s0b0n0 ofi+cxi://0x022d6600
x4104c6s1b0n0 ofi+cxi://0x022d4600
x4104c6s2b0n0 ofi+cxi://0x022d6200
x4104c6s3b0n0 ofi+cxi://0x022d4200
x4104c6s4b0n0 ofi+cxi://0x022d2000
x4104c6s5b0n0 ofi+cxi://0x022d0000
x4104c6s6b0n0 ofi+cxi://0x022d2400
x4104c6s7b0n0 ofi+cxi://0x022d0400
x4104c7s0b0n0 ofi+cxi://0x022f6600
x4104c7s1b0n0 ofi+cxi://0x022f4600
x4104c7s2b0n0 ofi+cxi://0x022f6200
x4104c7s3b0n0 ofi+cxi://0x022f4200
x4104c7s4b0n0 ofi+cxi://0x022f2000
x4104c7s5b0n0 ofi+cxi://0x022f0000
x4104c7s6b0n0 ofi+cxi://0x022f2400
x4104c7s7b0n0 ofi+cxi://0x022f0400
x4105c0s0b0n0 ofi+cxi://0x02316600
x4105c0s1b0n0 ofi+cxi://0x02314600
x4105c0s2b0n0 ofi+cxi://0x02316200
x4105c0s3b0n0 ofi+cxi://0x02314200
x4105c0s4b0n0 ofi+cxi://0x02312000
x4105c0s5b0n0 ofi+cxi://0x02310000
x4105c0s6b0n0 ofi+cxi://0x02312400
x4105c0s7b0n0 ofi+cxi://0x02310400
x4105c1s0b0n0 ofi+cxi://0x02336600
x4105c1s1b0n0 ofi+cxi://0x02334600
x4105c1s2b0n0 ofi+cxi://0x02336200
x4105c1s3b0n0 ofi+cxi://0x02334200
x4105c1s4b0n0 ofi+cxi://0x02332000
x4105c1s5b0n0 ofi+cxi://0x02330000
x4105c1s6b0n0 ofi+cxi://0x02332400
x4105c1s7b0n0 ofi+cxi://0x02330400
x4105c2s0b0n0 ofi+cxi://0x02356600
x4105c2s1b0n0 ofi+cxi://0x02354600
x4105c2s2b0n0 ofi+cxi://0x02356200
x4105c2s3b0n0 ofi+cxi://0x02354200
x4105c2s4b0n0 ofi+cxi://0x02352000
x4105c2s5b0n0 ofi+cxi://0x02350000
x4105c2s6b0n0 ofi+cxi://0x02352400
x4105c2s7b0n0 ofi+cxi://0x02350400
x4105c3s0b0n0 ofi+cxi://0x02376600
x4105c3s1b0n0 ofi+cxi://0x02374600
x4105c3s2b0n0 ofi+cxi://0x02376200
x4105c3s3b0n0 ofi+cxi://0x02374200
x4105c3s4b0n0 ofi+cxi://0x02372000
x4105c3s5b0n0 ofi+cxi://0x02370000
x4105c3s6b0n0 ofi+cxi://0x02372400
x4105c3s7b0n0 ofi+cxi://0x02370400
x4105c4s0b0n0 ofi+cxi://0x02396600
x4105c4s1b0n0 ofi+cxi://0x02394600
x4105c4s2b0n0 ofi+cxi://0x02396200
x4105c4s3b0n0 ofi+cxi://0x02394200
x4105c4s4b0n0 ofi+cxi://0x02392000
x4105c4s5b0n0 ofi+cxi://0x02390000
x4105c4s6b0n0 ofi+cxi://0x02392400
x4105c4s7b0n0 ofi+cxi://0x02390400
x4105c5s0b0n0 ofi+cxi://0x023b6600
x4105c5s1b0n0 ofi+cxi://0x023b4600
x4105c5s2b0n0 ofi+cxi://0x023b6200
x4105c5s3b0n0 ofi+cxi://0x023b4200
x4105c5s4b0n0 ofi+cxi://0x023b2000
x4105c5s5b0n0 ofi+cxi://0x023b0000
x4105c5s6b0n0 ofi+cxi://0x023b2400
x4105c5s7b0n0 ofi+cxi://0x023b0400
x4105c6s0b0n0 ofi+cxi://0x023d6600
x4105c6s1b0n0 ofi+cxi://0x023d4600
x4105c6s2b0n0 ofi+cxi://0x023d6200
x4105c6s3b0n0 ofi+cxi://0x023d4200
x4105c6s4b0n0 ofi+cxi://0x023d2000
x4105c6s5b0n0 ofi+cxi://0x023d0000
x4105c6s6b0n0 ofi+cxi://0x023d2400
x4105c6s7b0n0 ofi+cxi://0x023d0400
x4105c7s0b0n0 ofi+cxi://0x023f6600
x4105c7s1b0n0 ofi+cxi://0x023f4600
x4105c7s2b0n0 ofi+cxi://0x023f6200
x4105c7s3b0n0 ofi+cxi://0x023f4200
x4105c7s4b0n0 ofi+cxi://0x023f2000
x4105c7s5b0n0 ofi+cxi://0x023f0000
x4105c7s6b0n0 ofi+cxi://0x023f2400
x4105c7s7b0n0 ofi+cxi://0x023f0400
x4106c0s0b0n0 ofi+cxi://0x02416600
x4106c0s1b0n0 ofi+cxi://0x02414600
x4106c0s2b0n0 ofi+cxi://0x02416200
x4106c0s3b0n0 ofi+cxi://0x02414200
x4106c0s4b0n0 ofi+cxi://0x02412000
x4106c0s5b0n0 ofi+cxi://0x02410000
x4106c0s6b0n0 ofi+cxi://0x02412400
x4106c0s7b0n0 ofi+cxi://0x02410400
x4106c1s0b0n0 ofi+cxi://0x02436600
x4106c1s1b0n0 ofi+cxi://0x02434600
x4106c1s2b0n0 ofi+cxi://0x02436200
x4106c1s3b0n0 ofi+cxi://0x02434200
x4106c1s4b0n0 ofi+cxi://0x02432000
x4106c1s5b0n0 ofi+cxi://0x02430000
x4106c1s6b0n0 ofi+cxi://0x02432400
x4106c1s7b0n0 ofi+cxi://0x02430400
x4106c2s0b0n0 ofi+cxi://0x02456600
x4106c2s1b0n0 ofi+cxi://0x02454600
x4106c2s2b0n0 ofi+cxi://0x02456200
x4106c2s3b0n0 ofi+cxi://0x02454200
x4106c2s4b0n0 ofi+cxi://0x02452000
x4106c2s5b0n0 ofi+cxi://0x02450000
x4106c2s6b0n0 ofi+cxi://0x02452400
x4106c2s7b0n0 ofi+cxi://0x02450400
x4106c3s0b0n0 ofi+cxi://0x02476600
x4106c3s1b0n0 ofi+cxi://0x02474600
x4106c3s2b0n0 ofi+cxi://0x02476200
x4106c3s3b0n0 ofi+cxi://0x02474200
x4106c3s4b0n0 ofi+cxi://0x02472000
x4106c3s5b0n0 ofi+cxi://0x02470000
x4106c3s6b0n0 ofi+cxi://0x02472400
x4106c3s7b0n0 ofi+cxi://0x02470400
x4106c4s0b0n0 ofi+cxi://0x02496600
x4106c4s1b0n0 ofi+cxi://0x02494600
x4106c4s2b0n0 ofi+cxi://0x02496200
x4106c4s3b0n0 ofi+cxi://0x02494200
x4106c4s4b0n0 ofi+cxi://0x02492000
x4106c4s5b0n0 ofi+cxi://0x02490000
x4106c4s6b0n0 ofi+cxi://0x02492400
x4106c4s7b0n0 ofi+cxi://0x02490400
x4106c5s0b0n0 ofi+cxi://0x024b6600
x4106c5s1b0n0 ofi+cxi://0x024b4600
x4106c5s2b0n0 ofi+cxi://0x024b6200
x4106c5s3b0n0 ofi+cxi://0x024b4200
x4106c5s4b0n0 ofi+cxi://0x024b2000
x4106c5s5b0n0 ofi+cxi://0x024b0000
x4106c5s6b0n0 ofi+cxi://0x024b2400
x4106c5s7b0n0 ofi+cxi://0x024b0400
x4106c6s0b0n0 ofi+cxi://0x024d6600
x4106c6s1b0n0 ofi+cxi://0x024d4600
x4106c6s2b0n0 ofi+cxi://0x024d6200
x4106c6s3b0n0 ofi+cxi://0x024d4200
x4106c6s4b0n0 ofi+cxi://0x024d2000
x4106c6s5b0n0 ofi+cxi://0x024d0000
x4106c6s6b0n0 ofi+cxi://0x024d2400
x4106c6s7b0n0 ofi+cxi://0x024d0400
x4106c7s0b0n0 ofi+cxi://0x024f6600
x4106c7s1b0n0 ofi+cxi://0x024f4600
x4106c7s2b0n0 ofi+cxi://0x024f6200
x4106c7s3b0n0 ofi+cxi://0x024f4200
x4106c7s4b0n0 ofi+cxi://0x024f2000
x4106c7s5b0n0 ofi+cxi://0x024f0000
x4106c7s6b0n0 ofi+cxi://0x024f2400
x4106c7s7b0n0 ofi+cxi://0x024f0400
x4107c0s0b0n0 ofi+cxi://0x02516600
x4107c0s1b0n0 ofi+cxi://0x02514600
x4107c0s2b0n0 ofi+cxi://0x02516200
x4107c0s3b0n0 ofi+cxi://0x02514200
x4107c0s4b0n0 ofi+cxi://0x02512000
x4107c0s5b0n0 ofi+cxi://0x02510000
x4107c0s6b0n0 ofi+cxi://0x02512400
x4107c0s7b0n0 ofi+cxi://0x02510400
x4107c1s0b0n0 ofi+cxi://0x02536600
x4107c1s1b0n0 ofi+cxi://0x02534600
x4107c1s2b0n0 ofi+cxi://0x02536200
x4107c1s3b0n0 ofi+cxi://0x02534200
x4107c1s4b0n0 ofi+cxi://0x02532000
x4107c1s5b0n0 ofi+cxi://0x02530000
x4107c1s6b0n0 ofi+cxi://0x02532400
x4107c1s7b0n0 ofi+cxi://0x02530400
x4107c2s0b0n0 ofi+cxi://0x02556600
x4107c2s1b0n0 ofi+cxi://0x02554600
x4107c2s2b0n0 ofi+cxi://0x02556200
x4107c2s3b0n0 ofi+cxi://0x02554200
x4107c2s4b0n0 ofi+cxi://0x02552000
x4107c2s5b0n0 ofi+cxi://0x02550000
x4107c2s6b0n0 ofi+cxi://0x02552400
x4107c2s7b0n0 ofi+cxi://0x02550400
x4107c3s0b0n0 ofi+cxi://0x02576600
x4107c3s1b0n0 ofi+cxi://0x02574600
x4107c3s2b0n0 ofi+cxi://0x02576200
x4107c3s3b0n0 ofi+cxi://0x02574200
x4107c3s4b0n0 ofi+cxi://0x02572000
x4107c3s5b0n0 ofi+cxi://0x02570000
x4107c3s6b0n0 ofi+cxi://0x02572400
x4107c3s7b0n0 ofi+cxi://0x02570400
x4107c4s0b0n0 ofi+cxi://0x02596600
x4107c4s1b0n0 ofi+cxi://0x02594600
x4107c4s2b0n0 ofi+cxi://0x02596200
x4107c4s3b0n0 ofi+cxi://0x02594200
x4107c4s4b0n0 ofi+cxi://0x02592000
x4107c4s5b0n0 ofi+cxi://0x02590000
x4107c4s6b0n0 ofi+cxi://0x02592400
x4107c4s7b0n0 ofi+cxi://0x02590400
x4107c5s0b0n0 ofi+cxi://0x025b6600
x4107c5s1b0n0 ofi+cxi://0x025b4600
x4107c5s2b0n0 ofi+cxi://0x025b6200
x4107c5s3b0n0 ofi+cxi://0x025b4200
x4107c5s4b0n0 ofi+cxi://0x025b2000
x4107c5s5b0n0 ofi+cxi://0x025b0000
x4107c5s6b0n0 ofi+cxi://0x025b2400
x4107c5s7b0n0 ofi+cxi://0x025b0400
x4107c6s0b0n0 ofi+cxi://0x025d6600
x4107c6s1b0n0 ofi+cxi://0x025d4600
x4107c6s2b0n0 ofi+cxi://0x025d6200
x4107c6s3b0n0 ofi+cxi://0x025d4200
x4107c6s4b0n0 ofi+cxi://0x025d2000
x4107c6s5b0n0 ofi+cxi://0x025d0000
x4107c6s6b0n0 ofi+cxi://0x025d2400
x4107c6s7b0n0 ofi+cxi://0x025d0400
x4107c7s0b0n0 ofi+cxi://0x025f6600
x4107c7s1b0n0 ofi+cxi://0x025f4600
x4107c7s2b0n0 ofi+cxi://0x025f6200
x4107c7s3b0n0 ofi+cxi://0x025f4200
x4107c7s4b0n0 ofi+cxi://0x025f2000
x4107c7s5b0n0 ofi+cxi://0x025f0000
x4107c7s6b0n0 ofi+cxi://0x025f2400
x4107c7s7b0n0 ofi+cxi://0x025f0400
x4108c0s0b0n0 ofi+cxi://0x02616600
x4108c0s1b0n0 ofi+cxi://0x02614600
x4108c0s2b0n0 ofi+cxi://0x02616200
x4108c0s3b0n0 ofi+cxi://0x02614200
x4108c0s4b0n0 ofi+cxi://0x02612000
x4108c0s5b0n0 ofi+cxi://0x02610000
x4108c0s6b0n0 ofi+cxi://0x02612400
x4108c0s7b0n0 ofi+cxi://0x02610400
x4108c1s0b0n0 ofi+cxi://0x02636600
x4108c1s1b0n0 ofi+cxi://0x02634600
x4108c1s2b0n0 ofi+cxi://0x02636200
x4108c1s3b0n0 ofi+cxi://0x02634200
x4108c1s4b0n0 ofi+cxi://0x02632000
x4108c1s5b0n0 ofi+cxi://0x02630000
x4108c1s6b0n0 ofi+cxi://0x02632400
x4108c1s7b0n0 ofi+cxi://0x02630400
x4108c2s0b0n0 ofi+cxi://0x02656600
x4108c2s1b0n0 ofi+cxi://0x02654600
x4108c2s2b0n0 ofi+cxi://0x02656200
x4108c2s3b0n0 ofi+cxi://0x02654200
x4108c2s4b0n0 ofi+cxi://0x02652000
x4108c2s5b0n0 ofi+cxi://0x02650000
x4108c2s6b0n0 ofi+cxi://0x02652400
x4108c2s7b0n0 ofi+cxi://0x02650400
x4108c3s0b0n0 ofi+cxi://0x02676600
x4108c3s1b0n0 ofi+cxi://0x02674600
x4108c3s2b0n0 ofi+cxi://0x02676200
x4108c3s3b0n0 ofi+cxi://0x02674200
x4108c3s4b0n0 ofi+cxi://0x02672000
x4108c3s5b0n0 ofi+cxi://0x02670000
x4108c3s6b0n0 ofi+cxi://0x02672400
x4108c3s7b0n0 ofi+cxi://0x02670400
x4108c4s0b0n0 ofi+cxi://0x02696600
x4108c4s1b0n0 ofi+cxi://0x02694600
x4108c4s2b0n0 ofi+cxi://0x02696200
x4108c4s3b0n0 ofi+cxi://0x02694200
x4108c4s4b0n0 ofi+cxi://0x02692000
x4108c4s5b0n0 ofi+cxi://0x02690000
x4108c4s6b0n0 ofi+cxi://0x02692400
x4108c4s7b0n0 ofi+cxi://0x02690400
x4108c5s0b0n0 ofi+cxi://0x026b6600
x4108c5s1b0n0 ofi+cxi://0x026b4600
x4108c5s2b0n0 ofi+cxi://0x026b6200
x4108c5s3b0n0 ofi+cxi://0x026b4200
x4108c5s4b0n0 ofi+cxi://0x026b2000
x4108c5s5b0n0 ofi+cxi://0x026b0000
x4108c5s6b0n0 ofi+cxi://0x026b2400
x4108c5s7b0n0 ofi+cxi://0x026b0400
x4108c6s0b0n0 ofi+cxi://0x026d6600
x4108c6s1b0n0 ofi+cxi://0x026d4600
x4108c6s2b0n0 ofi+cxi://0x026d6200
x4108c6s3b0n0 ofi+cxi://0x026d4200
x4108c6s4b0n0 ofi+cxi://0x026d2000
x4108c6s5b0n0 ofi+cxi://0x026d0000
x4108c6s6b0n0 ofi+cxi://0x026d2400
x4108c6s7b0n0 ofi+cxi://0x026d0400
x4108c7s0b0n0 ofi+cxi://0x026f6600
x4108c7s1b0n0 ofi+cxi://0x026f4600
x4108c7s2b0n0 ofi+cxi://0x026f6200
x4108c7s3b0n0 ofi+cxi://0x026f4200
x4108c7s4b0n0 ofi+cxi://0x026f2000
x4108c7s5b0n0 ofi+cxi://0x026f0000
x4108c7s6b0n0 ofi+cxi://0x026f2400
x4108c7s7b0n0 ofi+cxi://0x026f0400
x4109c0s0b0n0 ofi+cxi://0x02716600
x4109c0s1b0n0 ofi+cxi://0x02714600
x4109c0s2b0n0 ofi+cxi://0x02716200
x4109c0s3b0n0 ofi+cxi://0x02714200
x4109c0s4b0n0 ofi+cxi://0x02712000
x4109c0s5b0n0 ofi+cxi://0x02710000
x4109c0s6b0n0 ofi+cxi://0x02712400
x4109c0s7b0n0 ofi+cxi://0x02710400
x4109c1s0b0n0 ofi+cxi://0x02736600
x4109c1s1b0n0 ofi+cxi://0x02734600
x4109c1s2b0n0 ofi+cxi://0x02736200
x4109c1s3b0n0 ofi+cxi://0x02734200
x4109c1s4b0n0 ofi+cxi://0x02732000
x4109c1s5b0n0 ofi+cxi://0x02730000
x4109c1s6b0n0 ofi+cxi://0x02732400
x4109c1s7b0n0 ofi+cxi://0x02730400
x4109c2s0b0n0 ofi+cxi://0x02756600
x4109c2s1b0n0 ofi+cxi://0x02754600
x4109c2s2b0n0 ofi+cxi://0x02756200
x4109c2s3b0n0 ofi+cxi://0x02754200
x4109c2s4b0n0 ofi+cxi://0x02752000
x4109c2s5b0n0 ofi+cxi://0x02750000
x4109c2s6b0n0 ofi+cxi://0x02752400
x4109c2s7b0n0 ofi+cxi://0x02750400
x4109c3s0b0n0 ofi+cxi://0x02776600
x4109c3s1b0n0 ofi+cxi://0x02774600
x4109c3s2b0n0 ofi+cxi://0x02776200
x4109c3s3b0n0 ofi+cxi://0x02774200
x4109c3s4b0n0 ofi+cxi://0x02772000
x4109c3s5b0n0 ofi+cxi://0x02770000
x4109c3s6b0n0 ofi+cxi://0x02772400
x4109c3s7b0n0 ofi+cxi://0x02770400
x4109c4s0b0n0 ofi+cxi://0x02796600
x4109c4s1b0n0 ofi+cxi://0x02794600
x4109c4s2b0n0 ofi+cxi://0x02796200
x4109c4s3b0n0 ofi+cxi://0x02794200
x4109c4s4b0n0 ofi+cxi://0x02792000
x4109c4s5b0n0 ofi+cxi://0x02790000
x4109c4s6b0n0 ofi+cxi://0x02792400
x4109c4s7b0n0 ofi+cxi://0x02790400
x4109c5s0b0n0 ofi+cxi://0x027b6600
x4109c5s1b0n0 ofi+cxi://0x027b4600
x4109c5s2b0n0 ofi+cxi://0x027b6200
x4109c5s3b0n0 ofi+cxi://0x027b4200
x4109c5s4b0n0 ofi+cxi://0x027b2000
x4109c5s5b0n0 ofi+cxi://0x027b0000
x4109c5s6b0n0 ofi+cxi://0x027b2400
x4109c5s7b0n0 ofi+cxi://0x027b0400
x4109c6s0b0n0 ofi+cxi://0x027d6600
x4109c6s1b0n0 ofi+cxi://0x027d4600
x4109c6s2b0n0 ofi+cxi://0x027d6200
x4109c6s3b0n0 ofi+cxi://0x027d4200
x4109c6s4b0n0 ofi+cxi://0x027d2000
x4109c6s5b0n0 ofi+cxi://0x027d0000
x4109c6s6b0n0 ofi+cxi://0x027d2400
x4109c6s7b0n0 ofi+cxi://0x027d0400
x4109c7s0b0n0 ofi+cxi://0x027f6600
x4109c7s1b0n0 ofi+cxi://0x027f4600
x4109c7s2b0n0 ofi+cxi://0x027f6200
x4109c7s3b0n0 ofi+cxi://0x027f4200
x4109c7s4b0n0 ofi+cxi://0x027f2000
x4109c7s5b0n0 ofi+cxi://0x027f0000
x4109c7s6b0n0 ofi+cxi://0x027f2400
x4109c7s7b0n0 ofi+cxi://0x027f0400
x4110c0s0b0n0 ofi+cxi://0x02816600
x4110c0s1b0n0 ofi+cxi://0x02814600
x4110c0s2b0n0 ofi+cxi://0x02816200
x4110c0s3b0n0 ofi+cxi://0x02814200
x4110c0s4b0n0 ofi+cxi://0x02812000
x4110c0s5b0n0 ofi+cxi://0x02810000
x4110c0s6b0n0 ofi+cxi://0x02812400
x4110c0s7b0n0 ofi+cxi://0x02810400
x4110c1s0b0n0 ofi+cxi://0x02836600
x4110c1s1b0n0 ofi+cxi://0x02834600
x4110c1s2b0n0 ofi+cxi://0x02836200
x4110c1s3b0n0 ofi+cxi://0x02834200
x4110c1s4b0n0 ofi+cxi://0x02832000
x4110c1s5b0n0 ofi+cxi://0x02830000
x4110c1s6b0n0 ofi+cxi://0x02832400
x4110c1s7b0n0 ofi+cxi://0x02830400
x4110c2s0b0n0 ofi+cxi://0x02856600
x4110c2s1b0n0 ofi+cxi://0x02854600
x4110c2s2b0n0 ofi+cxi://0x02856200
x4110c2s3b0n0 ofi+cxi://0x02854200
x4110c2s4b0n0 ofi+cxi://0x02852000
x4110c2s5b0n0 ofi+cxi://0x02850000
x4110c2s6b0n0 ofi+cxi://0x02852400
x4110c2s7b0n0 ofi+cxi://0x02850400
x4110c3s0b0n0 ofi+cxi://0x02876600
x4110c3s1b0n0 ofi+cxi://0x02874600
x4110c3s2b0n0 ofi+cxi://0x02876200
x4110c3s3b0n0 ofi+cxi://0x02874200
x4110c3s4b0n0 ofi+cxi://0x02872000
x4110c3s5b0n0 ofi+cxi://0x02870000
x4110c3s6b0n0 ofi+cxi://0x02872400
x4110c3s7b0n0 ofi+cxi://0x02870400
x4110c4s0b0n0 ofi+cxi://0x02896600
x4110c4s1b0n0 ofi+cxi://0x02894600
x4110c4s2b0n0 ofi+cxi://0x02896200
x4110c4s3b0n0 ofi+cxi://0x02894200
x4110c4s4b0n0 ofi+cxi://0x02892000
x4110c4s5b0n0 ofi+cxi://0x02890000
x4110c4s6b0n0 ofi+cxi://0x02892400
x4110c4s7b0n0 ofi+cxi://0x02890400
x4110c5s0b0n0 ofi+cxi://0x028b6600
x4110c5s1b0n0 ofi+cxi://0x028b4600
x4110c5s2b0n0 ofi+cxi://0x028b6200
x4110c5s3b0n0 ofi+cxi://0x028b4200
x4110c5s4b0n0 ofi+cxi://0x028b2000
x4110c5s5b0n0 ofi+cxi://0x028b0000
x4110c5s6b0n0 ofi+cxi://0x028b2400
x4110c5s7b0n0 ofi+cxi://0x028b0400
x4110c6s0b0n0 ofi+cxi://0x028d6600
x4110c6s1b0n0 ofi+cxi://0x028d4600
x4110c6s2b0n0 ofi+cxi://0x028d6200
x4110c6s3b0n0 ofi+cxi://0x028d4200
x4110c6s4b0n0 ofi+cxi://0x028d2000
x4110c6s5b0n0 ofi+cxi://0x028d0000
x4110c6s6b0n0 ofi+cxi://0x028d2400
x4110c6s7b0n0 ofi+cxi://0x028d0400
x4110c7s0b0n0 ofi+cxi://0x028f6600
x4110c7s1b0n0 ofi+cxi://0x028f4600
x4110c7s2b0n0 ofi+cxi://0x028f6200
x4110c7s3b0n0 ofi+cxi://0x028f4200
x4110c7s4b0n0 ofi+cxi://0x028f2000
x4110c7s5b0n0 ofi+cxi://0x028f0000
x4110c7s6b0n0 ofi+cxi://0x028f2400
x4110c7s7b0n0 ofi+cxi://0x028f0400
x4111c0s0b0n0 ofi+cxi://0x02916600
x4111c0s1b0n0 ofi+cxi://0x02914600
x4111c0s2b0n0 ofi+cxi://0x02916200
x4111c0s3b0n0 ofi+cxi://0x02914200
x4111c0s4b0n0 ofi+cxi://0x02912000
x4111c0s5b0n0 ofi+cxi://0x02910000
x4111c0s6b0n0 ofi+cxi://0x02912400
x4111c0s7b0n0 ofi+cxi://0x02910400
x4111c1s0b0n0 ofi+cxi://0x02936600
x4111c1s1b0n0 ofi+cxi://0x02934600
x4111c1s2b0n0 ofi+cxi://0x02936200
x4111c1s3b0n0 ofi+cxi://0x02934200
x4111c1s4b0n0 ofi+cxi://0x02932000
x4111c1s5b0n0 ofi+cxi://0x02930000
x4111c1s6b0n0 ofi+cxi://0x02932400
x4111c1s7b0n0 ofi+cxi://0x02930400
x4111c2s0b0n0 ofi+cxi://0x02956600
x4111c2s1b0n0 ofi+cxi://0x02954600
x4111c2s2b0n0 ofi+cxi://0x02956200
x4111c2s3b0n0 ofi+cxi://0x02954200
x4111c2s4b0n0 ofi+cxi://0x02952000
x4111c2s5b0n0 ofi+cxi://0x02950000
x4111c2s6b0n0 ofi+cxi://0x02952400
x4111c2s7b0n0 ofi+cxi://0x02950400
x4111c3s0b0n0 ofi+cxi://0x02976600
x4111c3s1b0n0 ofi+cxi://0x02974600
x4111c3s2b0n0 ofi+cxi://0x02976200
x4111c3s3b0n0 ofi+cxi://0x02974200
x4111c3s4b0n0 ofi+cxi://0x02972000
x4111c3s5b0n0 ofi+cxi://0x02970000
x4111c3s6b0n0 ofi+cxi://0x02972400
x4111c3s7b0n0 ofi+cxi://0x02970400
x4111c4s0b0n0 ofi+cxi://0x02996600
x4111c4s1b0n0 ofi+cxi://0x02994600
x4111c4s2b0n0 ofi+cxi://0x02996200
x4111c4s3b0n0 ofi+cxi://0x02994200
x4111c4s4b0n0 ofi+cxi://0x02992000
x4111c4s5b0n0 ofi+cxi://0x02990000
x4111c4s6b0n0 ofi+cxi://0x02992400
x4111c4s7b0n0 ofi+cxi://0x02990400
x4111c5s0b0n0 ofi+cxi://0x029b6600
x4111c5s1b0n0 ofi+cxi://0x029b4600
x4111c5s2b0n0 ofi+cxi://0x029b6200
x4111c5s3b0n0 ofi+cxi://0x029b4200
x4111c5s4b0n0 ofi+cxi://0x029b2000
x4111c5s5b0n0 ofi+cxi://0x029b0000
x4111c5s6b0n0 ofi+cxi://0x029b2400
x4111c5s7b0n0 ofi+cxi://0x029b0400
x4111c6s0b0n0 ofi+cxi://0x029d6600
x4111c6s1b0n0 ofi+cxi://0x029d4600
x4111c6s2b0n0 ofi+cxi://0x029d6200
x4111c6s3b0n0 ofi+cxi://0x029d4200
x4111c6s4b0n0 ofi+cxi://0x029d2000
x4111c6s5b0n0 ofi+cxi://0x029d0000
x4111c6s6b0n0 ofi+cxi://0x029d2400
x4111c6s7b0n0 ofi+cxi://0x029d0400
x4111c7s0b0n0 ofi+cxi://0x029f6600
x4111c7s1b0n0 ofi+cxi://0x029f4600
x4111c7s2b0n0 ofi+cxi://0x029f6200
x4111c7s3b0n0 ofi+cxi://0x029f4200
x4111c7s4b0n0 ofi+cxi://0x029f2000
x4111c7s5b0n0 ofi+cxi://0x029f0000
x4111c7s6b0n0 ofi+cxi://0x029f2400
x4111c7s7b0n0 ofi+cxi://0x029f0400
x4112c0s0b0n0 ofi+cxi://0x02a16600
x4112c0s1b0n0 ofi+cxi://0x02a14600
x4112c0s2b0n0 ofi+cxi://0x02a16200
x4112c0s3b0n0 ofi+cxi://0x02a14200
x4112c0s4b0n0 ofi+cxi://0x02a12000
x4112c0s5b0n0 ofi+cxi://0x02a10000
x4112c0s6b0n0 ofi+cxi://0x02a12400
x4112c0s7b0n0 ofi+cxi://0x02a10400
x4112c1s0b0n0 ofi+cxi://0x02a36600
